model,rows_evaluated,MAE,RMSE,RMSLE,MAE_improvement_vs_best_baseline_%,RMSE_improvement_vs_best_baseline_%,RMSLE_improvement_vs_best_baseline_%
LightGBM,160380,56.66814432139947,209.38837248052025,0.4731682577818042,32.59222797984657,37.20791492690649,11.395569750931681
XGBoost,160380,57.12615028675891,212.59094465114325,0.4646679262184229,32.04742168582503,36.24751687897195,12.987322838157764
Seasonal_Lag_28,160380,84.06767146147027,333.4630029195247,0.5760592860261101,0.0,0.0,-7.871574199226382
Weekly_Seasonal_Lag_7,160380,87.76994054699962,335.3739911044596,0.5340232496859598,-4.403915347204744,-0.5730735248599992,0.0
Naive_Lag_1,160380,128.3029598507133,469.16784531583886,0.5580033515295183,-52.6186673429118,-40.695621765591824,-4.490460266975329
