year_month,MAE,RMSE,RMSLE,WAPE_percent,MAPE_percent,actual_sales,predicted_sales,rows
2017-05,59.597177766377676,212.28043695436023,0.48056571389605385,12.532055833095049,42.789216517938414,11864217.736639202,11912930.835394375,24948
2017-06,54.95258625366255,214.68193339904195,0.4602156755351516,11.438638817896388,38.810884453153605,25682822.1249936,25501420.087527145,53460
2017-07,52.24692467611081,197.84034913573169,0.4456817223418082,10.685178572418282,36.34908489658575,27011477.5658307,26870553.35551227,55242
2017-08,58.971648805376184,194.6563069715052,0.46015148258981575,12.678124585647844,40.54678855197004,12433322.9407775,12906606.067078985,26730
