store_nbr,MAE,RMSE,RMSLE,WAPE_percent,MAPE_percent,actual_sales,predicted_sales,sales_difference,rows
35,27.18419126782587,79.41423336979781,0.48818566571501976,16.544707806036506,52.281191604848786,487993.194029,499275.10613698786,11281.912107987853,2970
10,28.116730473953417,94.08813220291921,0.512397862814942,14.43232387667993,47.06451450667327,578608.75505,593751.9874758737,15143.232425873633,2970
15,29.17402833215738,80.12219082514483,0.4973748542809099,12.211333674964129,43.09229022263248,709561.023004,730921.3569302463,21360.333926246385,2970
26,30.89554534090759,93.00193284476616,0.5504877849858181,20.018134229527377,51.38332710575478,458383.22698,476893.86417428474,18510.63719428476,2970
13,31.3171637816928,105.13220111436841,0.48585910957794665,14.883103017815568,46.24300253889251,624950.162075,631179.059586593,6228.89751159295,2970
23,31.77015257449378,82.40155849246817,0.4764880471287047,12.851160411149237,43.23918019746388,734232.1636915,739519.8771681513,5287.713476651348,2970
12,32.1362625530448,127.99734441322983,0.4898598250692485,13.459902884523869,45.29478364153308,709103.925945,713672.0103365585,4568.084391558426,2970
22,32.54419505849038,93.63067841936605,0.5173271447023748,15.470737398307582,48.03233057642023,624768.275973,620506.5669252218,-4261.70904777816,2970
19,32.82515125559492,96.02058420133247,0.5360914541616141,11.658496205127705,51.85853984935349,836220.190956,835359.7219639377,-860.4689920622623,2970
5,34.29181525903188,95.50704805663935,0.44053214509730476,11.148443535503313,35.9263689719754,913550.7660328,918654.8056509246,5104.039618124603,2970
34,35.55767633595617,98.97985138992074,0.47292579744909047,10.953288482678314,42.93095024024594,964151.53207,983746.6585040626,19595.126434062608,2970
1,37.54210920616741,108.90438252787897,0.5117190075876464,11.782675485306353,43.52436663480414,946305.1450527001,952617.3008384074,6312.155785707291,2970
53,38.439553286513195,99.69235427086956,0.487682039309246,10.732429008718984,39.56779754434802,1063743.102034,1068673.6429971638,4930.540963163832,2970
18,38.50329983780356,107.63621968568734,0.4823541994993496,11.769234924151826,42.17390638974296,971641.7528858001,1004806.9496558385,33165.196770038456,2970
25,40.38609454831739,145.4707221877194,0.5007287466955277,16.513210136628505,44.73367742064222,726368.1611029999,714884.7328761674,-11483.428226832533,2970
2,41.12532402082185,106.55723205893824,0.4439170671454732,8.995871668452333,34.259329323501895,1357758.5012710001,1388488.1016228385,30729.600351838395,2970
4,41.214431645703684,114.08610933811588,0.42152280579617296,10.545388976894083,34.03181789281483,1160761.9430250002,1183780.5338283358,23018.590803335654,2970
42,42.63917452121511,127.90557025325184,0.41220152227332924,10.761676981491954,34.162839337406126,1176752.9219266,1197691.5967377939,20938.674811193952,2970
37,42.8149129097996,118.75271666553246,0.4159945889777134,10.276605537102334,33.71140276431787,1237376.3971285,1249489.3066368615,12112.909508361481,2970
36,43.49415128568246,126.07309474830815,0.4983955466189128,12.177024750989588,44.10454055699941,1060830.8019410002,1061902.215089594,1071.413148593856,2970
32,44.507051390869876,249.88056974727937,0.5334150258180758,30.80810614551427,62.17576253153898,429062.215011,430037.18413883983,974.9691278398386,2970
17,46.25082299272015,177.65993156518164,0.44593565383558414,10.715351942396238,36.14712453568276,1281945.24106,1291000.3589493525,9055.117889352608,2970
6,46.52809961597584,124.89424288980364,0.3733355033516579,8.597218530732366,28.56427676609133,1607362.373836,1618461.4396878523,11099.065851852298,2970
29,47.03329557148047,135.35188331651972,0.45241194132993473,12.390285711050003,41.43265455566989,1127406.511076,1142132.527309913,14726.016233912902,2970
33,47.363475170620255,196.5632107097089,0.47994980519471325,15.712412072723597,42.933873537232635,895276.426087,891004.110915846,-4272.3151711540995,2970
14,49.103884198063305,202.73077912092162,0.5360148205347469,19.330667060757204,47.68961421672943,754441.301016,753307.8864312443,-1133.4145847556647,2970
8,50.74544296315296,134.1374048613495,0.36166014617126985,7.529437351860518,24.723917675176306,2001663.053393,2023189.8250013548,21526.771608354757,2970
24,50.811430822441416,150.55861770851035,0.39127765658264624,9.370068473581657,29.846362252737645,1610553.3269914999,1637215.2932407395,26661.96624923963,2970
27,51.19535963499044,145.14923493078686,0.4432813275751067,10.99494433759311,35.798972774122056,1382910.303566,1388504.7238327703,5594.420266770292,2970
16,51.333822082013114,250.63830814105597,0.5236646583824244,24.78679947662131,51.7385427113848,615091.317971,612520.2215485767,-2571.0964224232594,2970
7,53.688488607914486,139.99751747051002,0.4212330548579016,8.796436510307254,31.51910430870082,1812720.537216,1849731.6038192562,37011.06660325616,2970
9,54.291620428170454,156.30196203350758,0.4307283165840915,9.753776557632236,35.5949662628,1653165.947763,1684534.7571867364,31368.80942373653,2970
31,55.76616484431116,208.19323032643237,0.47917331600914664,13.219647443452635,38.673148707828034,1252873.878037,1241703.2116170758,-11170.666419924237,2970
43,57.41646675056531,191.44432258546053,0.4698642590720879,12.39676331272644,42.440854272956884,1375576.043096,1350229.345462676,-25346.69763332419,2970
30,57.47814622677522,293.09711822248414,0.5259263047734358,28.924543322218554,53.33535958876726,590191.148022,579684.9956694786,-10506.152352521429,2970
21,59.950093056426994,192.47149532245095,0.49129743352876143,14.699050765351041,40.99004230820596,1211314.793179,1205748.3472908689,-5566.445888131158,2970
50,60.15746305148928,163.80580966115224,0.41543775553809636,9.240591502978596,32.55392374517291,1933508.9664480002,1918925.0543061069,-14583.912141893292,2970
38,62.44463169625527,322.0107883032639,0.4298642921436983,15.367063783262017,34.03107976574559,1206870.4780147,1192122.7866690299,-14747.69134567026,2970
20,65.57626527107873,215.19938279122937,0.46180160327255937,13.427962967496052,41.742948735994744,1450417.3740019,1450729.658321715,312.28431981499307,2970
11,65.57966057052931,201.6018189410881,0.4446644164219449,10.798069168697571,36.54480936616575,1803763.1436839998,1823738.476144082,19975.332460082136,2970
